,Participant,Corpus,Condition,Trail,Target_Sentence,ASR_Sentence,WER,MER,WIL
0,Participant1,Corpus1,A1,1,"""Hey Google, read a bedtime story.""",-,1.0,1.0,1.0
1,Participant1,Corpus1,A1,2,"""Hey Google, did the Liverpool win yesterday?""",3 hey Google yesterday,0.7142857142857143,0.625,0.6785714285714286
2,Participant1,Corpus1,A1,3,"""Hey Google, redi-al.""",hey Google redial,0.0,0.0,0.0
3,Participant1,Corpus1,A1,4,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop,0.0,0.0,0.0
4,Participant1,Corpus1,A1,5,"""Hey Google, stop the music.""",hey Google stop the music,0.0,0.0,0.0
5,Participant1,Corpus1,A1,6,"""Hey Google, broadcast 'wake everybody up'.""",hey Google what's the last break everybody up,0.8333333333333334,0.5555555555555556,0.7037037037037037
6,Participant1,Corpus1,A1,7,"""Hey Google, dim the living room lights.""",Hey Google dim the living room lights,0.0,0.0,0.0
7,Participant1,Corpus1,A1,8,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner is ready,0.16666666666666666,0.16666666666666666,0.30555555555555547
8,Participant1,Corpus1,A1,9,"""Hey Google, turn on the Bedroom Light.""",-,1.0,1.0,1.0
9,Participant1,Corpus1,A1,10,"""Hey Google, broadcast 'time to leave for school'.""",hey Google turn on the bedroom lights,0.75,0.75,0.9285714285714286
10,Participant1,Corpus1,A1,11,"""Hey Google, stop.""",hey Google stop,0.0,0.0,0.0
11,Participant1,Corpus1,A1,12,"""Hey Google, play music on all the downstairs speakers.""",hey Google play music on all the downstairs speakers,0.0,0.0,0.0
12,Participant1,Corpus1,A1,13,"""Hey Google, play some hip hop.""",hey Google play some hip hop,0.0,0.0,0.0
13,Participant1,Corpus1,A1,14,"""Hey Google, snooze the alarm.""",hey Google snooze the alarm,0.0,0.0,0.0
14,Participant1,Corpus1,A1,15,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like,0.0,0.0,0.0
15,Participant1,Corpus1,A1,16,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",-,1.0,1.0,1.0
16,Participant1,Corpus1,A1,17,"""Hey Google, play Batman on TV.""",-,1.0,1.0,1.0
17,Participant1,Corpus1,A1,18,"""Hey Google, what is the French word for grapefruit?""",Hey Google Assistant support,0.7777777777777778,0.7777777777777778,0.8888888888888888
18,Participant1,Corpus1,A1,19,"""Hey Google, help.""",OK Google help,0.3333333333333333,0.3333333333333333,0.5555555555555556
19,Participant1,Corpus1,A1,20,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week,0.0,0.0,0.0
20,Participant1,Corpus2,B1,1,"""Hey Google, what does an elephant sound like?""",hey Google what's an elephant sound like,0.125,0.125,0.234375
21,Participant1,Corpus2,B1,2,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",Hey Google remind me at 10 a.m. tomorrow to take my lunch into work,0.2857142857142857,0.26666666666666666,0.38265306122448983
22,Participant1,Corpus2,B1,3,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify,0.0,0.0,0.0
23,Participant1,Corpus2,B1,4,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by Lisa on Spotify,0.125,0.125,0.234375
24,Participant1,Corpus2,B1,5,"""Hey Google, flip a coin.""",hey Google flip a coin,0.0,0.0,0.0
25,Participant1,Corpus2,B1,6,"""Hey Google, read Women and Power.""",hey Google where do men and Power,0.5,0.42857142857142855,0.6190476190476191
26,Participant1,Corpus2,B1,7,"""Hey Google, move my music to the bedroom""",hey Google move my music to the bedroom,0.0,0.0,0.0
27,Participant1,Corpus2,B1,8,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story,0.0,0.0,0.0
28,Participant1,Corpus2,B1,9,"""Hey Google, Open Spotify.""",hey Google open Spotify,0.0,0.0,0.0
29,Participant1,Corpus2,B1,10,"""Hey Google, raise the temperature three degrees.""",hey Google where is the temperature to decrease,0.5714285714285714,0.5,0.7142857142857143
30,Participant1,Corpus2,B1,11,"""Hey Google, hang up.""",hey Google,0.5,0.5,0.5
31,Participant1,Corpus2,B1,12,"""Hey Google, broadcast 'time to leave for school'.""",hey Google,0.75,0.75,0.75
32,Participant1,Corpus2,B1,13,"""Hey Google, brighten the office lamp.""",OK Google by Kennedy office mam,0.6666666666666666,0.6666666666666666,0.8888888888888888
33,Participant1,Corpus2,B1,14,"""Hey Google, what is today's headlines?""",hey Google what is today's headlines,0.0,0.0,0.0
34,Participant1,Corpus2,B1,15,"""Hey Google, turn on the Bedroom Light.""",hey Google Berry equipment,0.7142857142857143,0.7142857142857143,0.8571428571428572
35,Participant1,Corpus2,B1,16,"""Hey Google, where did I put the spare keys?""",-,1.0,1.0,1.0
36,Participant1,Corpus2,B1,17,"""Hey Google, redial.""",hey Google redial,0.0,0.0,0.0
37,Participant1,Corpus2,B1,18,"""Hey Google, are there any Italian restaurants around here?""",hey Google are there any Italian restaurant,0.3333333333333333,0.3333333333333333,0.4285714285714286
38,Participant1,Corpus2,B1,19,"""Hey Google, call my phone.""",OK Google call my boy,0.4,0.4,0.64
39,Participant1,Corpus2,B1,20,"""Hey Google, do I have anything scheduled for Friday?""",OK Google do I have anything scheduled for Friday,0.1111111111111111,0.1111111111111111,0.2098765432098766
40,Participant1,Corpus3,D1,1,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",Hey Google set the thermostat to 20 degrees,0.1111111111111111,0.1111111111111111,0.11111111111111116
41,Participant1,Corpus3,D1,2,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast,0.5,0.5,0.5
42,Participant1,Corpus3,D1,3,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set my alarm for 7:50 a.m. tomorrow morning,0.3,0.3,0.51
